"code","areatype","areaname","indicator","type_definition","definition_period","trend_axis","numerator","measure","upper_confidence_interval","lower_confidence_interval"
"S00000001","Scotland","Scotland","Drug-related deaths","Age-sex standardised rate per 100,000","2002 calendar year","2002",381,7.2,8,6.5
"S08000015","Health board","NHS Ayrshire & Arran","Drug-related deaths","Age-sex standardised rate per 100,000","2002 calendar year","2002",33,9.3,13.1,6.4
"S08000016","Health board","NHS Borders","Drug-related deaths","Age-sex standardised rate per 100,000","2002 calendar year","2002",NA,0,0,0
"S08000017","Health board","NHS Dumfries & Galloway","Drug-related deaths","Age-sex standardised rate per 100,000","2002 calendar year","2002",9,7.6,14.4,3.4
"S08000029","Health board","NHS Fife","Drug-related deaths","Age-sex standardised rate per 100,000","2002 calendar year","2002",12,3.5,6.2,1.8
"S08000019","Health board","NHS Forth Valley","Drug-related deaths","Age-sex standardised rate per 100,000","2002 calendar year","2002",24,8.4,12.6,5.4
"S08000020","Health board","NHS Grampian","Drug-related deaths","Age-sex standardised rate per 100,000","2002 calendar year","2002",46,8,10.7,5.9
"S08000031","Health board","NHS Greater Glasgow & Clyde","Drug-related deaths","Age-sex standardised rate per 100,000","2002 calendar year","2002",147,12.2,14.4,10.3
"S08000022","Health board","NHS Highland","Drug-related deaths","Age-sex standardised rate per 100,000","2002 calendar year","2002",13,4.5,7.7,2.4
"S08000032","Health board","NHS Lanarkshire","Drug-related deaths","Age-sex standardised rate per 100,000","2002 calendar year","2002",42,6.4,8.7,4.6
"S08000024","Health board","NHS Lothian","Drug-related deaths","Age-sex standardised rate per 100,000","2002 calendar year","2002",39,4.3,5.9,3.1
"S08000025","Health board","NHS Orkney","Drug-related deaths","Age-sex standardised rate per 100,000","2002 calendar year","2002",NA,0,0,0
"S08000026","Health board","NHS Shetland","Drug-related deaths","Age-sex standardised rate per 100,000","2002 calendar year","2002",NA,4.8,26.9,0.1
"S08000030","Health board","NHS Tayside","Drug-related deaths","Age-sex standardised rate per 100,000","2002 calendar year","2002",14,3.6,6,1.9
"S08000028","Health board","NHS Western Isles","Drug-related deaths","Age-sex standardised rate per 100,000","2002 calendar year","2002",NA,3.8,21,0
"S00000001","Scotland","Scotland","Drug-related deaths","Age-sex standardised rate per 100,000","2003 calendar year","2003",315,6,6.7,5.3
"S08000015","Health board","NHS Ayrshire & Arran","Drug-related deaths","Age-sex standardised rate per 100,000","2003 calendar year","2003",18,5.1,8.1,3
"S08000016","Health board","NHS Borders","Drug-related deaths","Age-sex standardised rate per 100,000","2003 calendar year","2003",NA,1.8,6.5,0.2
"S08000017","Health board","NHS Dumfries & Galloway","Drug-related deaths","Age-sex standardised rate per 100,000","2003 calendar year","2003",9,7.2,13.8,3.2
"S08000029","Health board","NHS Fife","Drug-related deaths","Age-sex standardised rate per 100,000","2003 calendar year","2003",13,3.6,6.2,1.9
"S08000019","Health board","NHS Forth Valley","Drug-related deaths","Age-sex standardised rate per 100,000","2003 calendar year","2003",12,4.2,7.4,2.2
"S08000020","Health board","NHS Grampian","Drug-related deaths","Age-sex standardised rate per 100,000","2003 calendar year","2003",37,6.3,8.7,4.4
"S08000031","Health board","NHS Greater Glasgow & Clyde","Drug-related deaths","Age-sex standardised rate per 100,000","2003 calendar year","2003",124,10.4,12.5,8.7
"S08000022","Health board","NHS Highland","Drug-related deaths","Age-sex standardised rate per 100,000","2003 calendar year","2003",10,3.2,6,1.5
"S08000032","Health board","NHS Lanarkshire","Drug-related deaths","Age-sex standardised rate per 100,000","2003 calendar year","2003",30,4.6,6.5,3.1
"S08000024","Health board","NHS Lothian","Drug-related deaths","Age-sex standardised rate per 100,000","2003 calendar year","2003",40,4.6,6.3,3.3
"S08000025","Health board","NHS Orkney","Drug-related deaths","Age-sex standardised rate per 100,000","2003 calendar year","2003",NA,0,0,0
"S08000026","Health board","NHS Shetland","Drug-related deaths","Age-sex standardised rate per 100,000","2003 calendar year","2003",NA,0,0,0
"S08000030","Health board","NHS Tayside","Drug-related deaths","Age-sex standardised rate per 100,000","2003 calendar year","2003",19,4.8,7.5,2.9
"S08000028","Health board","NHS Western Isles","Drug-related deaths","Age-sex standardised rate per 100,000","2003 calendar year","2003",NA,5.2,28.8,0.1
"S00000001","Scotland","Scotland","Drug-related deaths","Age-sex standardised rate per 100,000","2004 calendar year","2004",351,6.7,7.4,6
"S08000015","Health board","NHS Ayrshire & Arran","Drug-related deaths","Age-sex standardised rate per 100,000","2004 calendar year","2004",20,5.6,8.6,3.4
"S08000016","Health board","NHS Borders","Drug-related deaths","Age-sex standardised rate per 100,000","2004 calendar year","2004",NA,2.1,7.8,0.2
"S08000017","Health board","NHS Dumfries & Galloway","Drug-related deaths","Age-sex standardised rate per 100,000","2004 calendar year","2004",7,5.5,11.5,2.2
"S08000029","Health board","NHS Fife","Drug-related deaths","Age-sex standardised rate per 100,000","2004 calendar year","2004",17,4.7,7.5,2.7
"S08000019","Health board","NHS Forth Valley","Drug-related deaths","Age-sex standardised rate per 100,000","2004 calendar year","2004",16,5.6,9,3.2
"S08000020","Health board","NHS Grampian","Drug-related deaths","Age-sex standardised rate per 100,000","2004 calendar year","2004",38,6.7,9.2,4.7
"S08000031","Health board","NHS Greater Glasgow & Clyde","Drug-related deaths","Age-sex standardised rate per 100,000","2004 calendar year","2004",144,12.3,14.5,10.3
"S08000022","Health board","NHS Highland","Drug-related deaths","Age-sex standardised rate per 100,000","2004 calendar year","2004",12,4.3,7.5,2.2
"S08000032","Health board","NHS Lanarkshire","Drug-related deaths","Age-sex standardised rate per 100,000","2004 calendar year","2004",37,5.6,7.8,4
"S08000024","Health board","NHS Lothian","Drug-related deaths","Age-sex standardised rate per 100,000","2004 calendar year","2004",35,4,5.6,2.8
"S08000025","Health board","NHS Orkney","Drug-related deaths","Age-sex standardised rate per 100,000","2004 calendar year","2004",NA,0,0,0
"S08000026","Health board","NHS Shetland","Drug-related deaths","Age-sex standardised rate per 100,000","2004 calendar year","2004",NA,0,0,0
"S08000030","Health board","NHS Tayside","Drug-related deaths","Age-sex standardised rate per 100,000","2004 calendar year","2004",23,6,8.9,3.8
"S08000028","Health board","NHS Western Isles","Drug-related deaths","Age-sex standardised rate per 100,000","2004 calendar year","2004",NA,0,0,0
"S00000001","Scotland","Scotland","Drug-related deaths","Age-sex standardised rate per 100,000","2005 calendar year","2005",335,6.4,7.1,5.7
"S08000015","Health board","NHS Ayrshire & Arran","Drug-related deaths","Age-sex standardised rate per 100,000","2005 calendar year","2005",15,4.2,6.9,2.3
"S08000016","Health board","NHS Borders","Drug-related deaths","Age-sex standardised rate per 100,000","2005 calendar year","2005",7,8,16.6,3.1
"S08000017","Health board","NHS Dumfries & Galloway","Drug-related deaths","Age-sex standardised rate per 100,000","2005 calendar year","2005",7,5.4,11.2,2.1
"S08000029","Health board","NHS Fife","Drug-related deaths","Age-sex standardised rate per 100,000","2005 calendar year","2005",21,6,9.2,3.7
"S08000019","Health board","NHS Forth Valley","Drug-related deaths","Age-sex standardised rate per 100,000","2005 calendar year","2005",13,4.7,8,2.5
"S08000020","Health board","NHS Grampian","Drug-related deaths","Age-sex standardised rate per 100,000","2005 calendar year","2005",23,4,6.1,2.6
"S08000031","Health board","NHS Greater Glasgow & Clyde","Drug-related deaths","Age-sex standardised rate per 100,000","2005 calendar year","2005",109,9.3,11.3,7.7
"S08000022","Health board","NHS Highland","Drug-related deaths","Age-sex standardised rate per 100,000","2005 calendar year","2005",13,4.7,8,2.5
"S08000032","Health board","NHS Lanarkshire","Drug-related deaths","Age-sex standardised rate per 100,000","2005 calendar year","2005",41,6.1,8.3,4.4
"S08000024","Health board","NHS Lothian","Drug-related deaths","Age-sex standardised rate per 100,000","2005 calendar year","2005",58,7.3,9.6,5.4
"S08000025","Health board","NHS Orkney","Drug-related deaths","Age-sex standardised rate per 100,000","2005 calendar year","2005",NA,0,0,0
"S08000026","Health board","NHS Shetland","Drug-related deaths","Age-sex standardised rate per 100,000","2005 calendar year","2005",NA,4.3,23.9,0.1
"S08000030","Health board","NHS Tayside","Drug-related deaths","Age-sex standardised rate per 100,000","2005 calendar year","2005",26,6.7,9.9,4.4
"S08000028","Health board","NHS Western Isles","Drug-related deaths","Age-sex standardised rate per 100,000","2005 calendar year","2005",NA,4.9,27.3,0.1
"S00000001","Scotland","Scotland","Drug-related deaths","Age-sex standardised rate per 100,000","2006 calendar year","2006",420,8,8.8,7.2
"S08000015","Health board","NHS Ayrshire & Arran","Drug-related deaths","Age-sex standardised rate per 100,000","2006 calendar year","2006",22,6.2,9.5,3.9
"S08000016","Health board","NHS Borders","Drug-related deaths","Age-sex standardised rate per 100,000","2006 calendar year","2006",NA,1.7,6.2,0.2
"S08000017","Health board","NHS Dumfries & Galloway","Drug-related deaths","Age-sex standardised rate per 100,000","2006 calendar year","2006",5,3.8,8.9,1.2
"S08000019","Health board","NHS Forth Valley","Drug-related deaths","Age-sex standardised rate per 100,000","2006 calendar year","2006",24,8.3,12.4,5.3
"S08000020","Health board","NHS Grampian","Drug-related deaths","Age-sex standardised rate per 100,000","2006 calendar year","2006",45,7.8,10.4,5.7
"S08000022","Health board","NHS Highland","Drug-related deaths","Age-sex standardised rate per 100,000","2006 calendar year","2006",12,4.4,7.6,2.2
"S08000024","Health board","NHS Lothian","Drug-related deaths","Age-sex standardised rate per 100,000","2006 calendar year","2006",42,4.8,6.5,3.5
"S08000025","Health board","NHS Orkney","Drug-related deaths","Age-sex standardised rate per 100,000","2006 calendar year","2006",NA,6.6,36.5,0.1
"S08000026","Health board","NHS Shetland","Drug-related deaths","Age-sex standardised rate per 100,000","2006 calendar year","2006",NA,9.4,33.8,1.1
"S08000028","Health board","NHS Western Isles","Drug-related deaths","Age-sex standardised rate per 100,000","2006 calendar year","2006",NA,4.7,26.4,0.1
"S08000029","Health board","NHS Fife","Drug-related deaths","Age-sex standardised rate per 100,000","2006 calendar year","2006",18,5.1,8,3
"S08000030","Health board","NHS Tayside","Drug-related deaths","Age-sex standardised rate per 100,000","2006 calendar year","2006",35,9.2,12.8,6.4
"S08000031","Health board","NHS Greater Glasgow & Clyde","Drug-related deaths","Age-sex standardised rate per 100,000","2006 calendar year","2006",155,13.4,15.7,11.4
"S08000032","Health board","NHS Lanarkshire","Drug-related deaths","Age-sex standardised rate per 100,000","2006 calendar year","2006",46,7.1,9.5,5.2
"S00000001","Scotland","Scotland","Drug-related deaths","Age-sex standardised rate per 100,000","2007 calendar year","2007",455,8.6,9.4,7.8
"S08000015","Health board","NHS Ayrshire & Arran","Drug-related deaths","Age-sex standardised rate per 100,000","2007 calendar year","2007",36,10.3,14.3,7.2
"S08000016","Health board","NHS Borders","Drug-related deaths","Age-sex standardised rate per 100,000","2007 calendar year","2007",NA,4.1,10.7,1
"S08000017","Health board","NHS Dumfries & Galloway","Drug-related deaths","Age-sex standardised rate per 100,000","2007 calendar year","2007",10,8,14.8,3.8
"S08000019","Health board","NHS Forth Valley","Drug-related deaths","Age-sex standardised rate per 100,000","2007 calendar year","2007",26,9.1,13.4,5.9
"S08000020","Health board","NHS Grampian","Drug-related deaths","Age-sex standardised rate per 100,000","2007 calendar year","2007",44,7.6,10.3,5.5
"S08000022","Health board","NHS Highland","Drug-related deaths","Age-sex standardised rate per 100,000","2007 calendar year","2007",16,5.5,8.9,3.1
"S08000024","Health board","NHS Lothian","Drug-related deaths","Age-sex standardised rate per 100,000","2007 calendar year","2007",52,5.9,7.7,4.4
"S08000025","Health board","NHS Orkney","Drug-related deaths","Age-sex standardised rate per 100,000","2007 calendar year","2007",NA,0,0,0
"S08000026","Health board","NHS Shetland","Drug-related deaths","Age-sex standardised rate per 100,000","2007 calendar year","2007",NA,8.3,30,0.9
"S08000028","Health board","NHS Western Isles","Drug-related deaths","Age-sex standardised rate per 100,000","2007 calendar year","2007",NA,0,0,0
"S08000029","Health board","NHS Fife","Drug-related deaths","Age-sex standardised rate per 100,000","2007 calendar year","2007",28,7.8,11.3,5.2
"S08000030","Health board","NHS Tayside","Drug-related deaths","Age-sex standardised rate per 100,000","2007 calendar year","2007",29,7.6,10.9,5
"S08000031","Health board","NHS Greater Glasgow & Clyde","Drug-related deaths","Age-sex standardised rate per 100,000","2007 calendar year","2007",146,12.5,14.8,10.6
